Date,Open,High,Low,Close,Volume
30/03/2020,152.440002,160.600006,150.009995,160.229996,63420300
31/03/2020,159.399994,164.779999,156.559998,157.710007,77927200
01/04/2020,153,157.75,150.820007,152.110001,57969900
02/04/2020,151.860001,155.479996,150.360001,155.259995,49630700
03/04/2020,155.100006,157.380005,152.190002,153.830002,41243300
06/04/2020,160.320007,166.5,157.580002,165.270004,67111700
07/04/2020,169.589996,170,163.259995,163.490005,62769000
08/04/2020,165.669998,166.669998,163.5,165.130005,48318200
09/04/2020,166.360001,167.369995,163.330002,165.139999,51385100
13/04/2020,164.350006,165.570007,162.300003,165.509995,41905300
14/04/2020,169,173.75,168,173.699997,52874300
15/04/2020,171.199997,173.570007,169.240005,171.880005,40940800
16/04/2020,174.300003,177.279999,172.899994,177.039993,50479600
17/04/2020,179.5,180,175.869995,178.600006,52765600
20/04/2020,176.630005,178.75,174.990005,175.059998,36669600
21/04/2020,173.5,173.669998,166.110001,167.820007,56203700
22/04/2020,171.389999,174,170.820007,173.520004,34620200
23/04/2020,174.110001,175.059998,170.910004,171.419998,32790800
24/04/2020,172.059998,174.559998,170.710007,174.550003,34277600
27/04/2020,176.589996,176.899994,173.300003,174.050003,33194400
28/04/2020,175.589996,175.669998,169.389999,169.809998,34392700
29/04/2020,173.220001,177.679993,171.880005,177.429993,51286600
30/04/2020,180,180.399994,176.229996,179.210007,53875900
01/05/2020,175.800003,178.639999,174.009995,174.570007,39370500
04/05/2020,174.490005,179,173.800003,178.839996,30372900
05/05/2020,180.619995,183.649994,179.899994,180.759995,36839200
06/05/2020,182.080002,184.199997,181.630005,182.539993,32139300
07/05/2020,184.169998,184.550003,182.580002,183.600006,28316000
08/05/2020,184.979996,185,183.360001,184.679993,30877800
11/05/2020,183.149994,187.509995,182.850006,186.740005,30892700
12/05/2020,186.800003,187.039993,182.300003,182.509995,32038200
13/05/2020,182.550003,184.050003,176.539993,179.75,44711500
14/05/2020,177.539993,180.690002,175.679993,180.529999,41873900
15/05/2020,179.059998,187.059998,177,183.160004,46610400
18/05/2020,185.75,186.199997,183.960007,184.910004,35264500
19/05/2020,185.029999,186.600006,183.490005,183.630005,26799100
20/05/2020,184.809998,185.850006,183.940002,185.660004,31261300
21/05/2020,185.399994,186.669998,183.289993,183.429993,29119500
22/05/2020,183.190002,184.460007,182.539993,183.509995,20826900
26/05/2020,186.339996,186.5,181.100006,181.570007,36073600
27/05/2020,180.199997,181.990005,176.600006,181.809998,39517100
28/05/2020,180.740005,184.149994,180.380005,181.399994,33810200
29/05/2020,182.729996,184.270004,180.410004,183.25,42130400
01/06/2020,182.539993,183,181.460007,182.830002,22622400
02/06/2020,184.25,185,181.350006,184.910004,30794600
03/06/2020,184.820007,185.940002,183.580002,185.360001,27311000
04/06/2020,184.300003,185.839996,182.300003,182.919998,28761800
05/06/2020,182.619995,187.729996,182.009995,187.199997,39893600
08/06/2020,185.940002,188.550003,184.440002,188.360001,33211600
09/06/2020,188,190.699997,187.259995,189.800003,29783900
10/06/2020,191.130005,198.520004,191.009995,196.839996,43872300
11/06/2020,193.130005,195.759995,186.070007,186.270004,52854700
12/06/2020,190.539993,191.720001,185.179993,187.740005,43373600
15/06/2020,184.580002,190.820007,184.009995,188.940002,32770200
16/06/2020,192.889999,195.580002,191.460007,193.570007,42556700
17/06/2020,195.029999,196.320007,193.690002,194.240005,25687800
18/06/2020,194,196.490005,194,196.320007,23061600
19/06/2020,198.589996,199.289993,194.369995,195.149994,44441100
22/06/2020,195.789993,200.759995,195.229996,200.570007,32818900
23/06/2020,202.089996,203.949997,201.429993,201.910004,30917400
24/06/2020,201.600006,203.25,196.559998,197.839996,36740600
25/06/2020,197.800003,200.610001,195.470001,200.339996,27803900
26/06/2020,199.729996,199.889999,194.880005,196.330002,54675800
29/06/2020,195.779999,198.529999,193.550003,198.440002,26701600
30/06/2020,197.880005,204.399994,197.740005,203.509995,34310300
01/07/2020,203.139999,206.350006,201.770004,204.699997,32061200
02/07/2020,205.679993,208.020004,205,206.259995,29315800
06/07/2020,208.830002,211.130005,208.089996,210.699997,31897600
07/07/2020,210.449997,214.669998,207.990005,208.25,33600700
08/07/2020,210.070007,213.259995,208.690002,212.830002,33600000
09/07/2020,216.330002,216.380005,211.470001,214.320007,33121700
10/07/2020,213.619995,214.080002,211.080002,213.669998,26177600
13/07/2020,214.479996,215.800003,206.5,207.070007,38135600
14/07/2020,206.130005,208.850006,202.029999,208.350006,37591800
15/07/2020,209.559998,211.330002,205.029999,208.039993,32179400
16/07/2020,205.399994,205.699997,202.309998,203.919998,29940700
17/07/2020,204.470001,205.039993,201.389999,202.880005,31635300
20/07/2020,205,212.300003,203.009995,211.600006,36884800
21/07/2020,213.660004,213.940002,208.029999,208.75,37990400
22/07/2020,209.199997,212.300003,208.389999,211.75,49605700
23/07/2020,207.190002,210.919998,202.149994,202.539993,67457000
24/07/2020,200.419998,202.860001,197.509995,201.300003,39827000
27/07/2020,201.470001,203.970001,200.860001,203.850006,30160900
28/07/2020,203.610001,204.699997,201.740005,202.020004,23251400
29/07/2020,202.5,204.649994,202.009995,204.059998,19632600
30/07/2020,201,204.460007,199.570007,203.899994,25079600
31/07/2020,204.399994,205.100006,199.009995,205.009995,51044000
03/08/2020,211.520004,217.639999,210.440002,216.539993,78983000
04/08/2020,214.169998,214.770004,210.309998,213.289993,49280100
05/08/2020,214.899994,215,211.570007,212.940002,28806400
06/08/2020,212.339996,216.369995,211.550003,216.350006,32656800
07/08/2020,214.850006,215.699997,210.929993,212.479996,27820400
10/08/2020,211.669998,211.880005,206.350006,208.25,36716500
11/08/2020,207.160004,207.649994,203.139999,203.380005,36446500
12/08/2020,205.289993,210.279999,204.75,209.190002,28013100
13/08/2020,209.440002,211.350006,208.149994,208.699997,22588900
14/08/2020,208.759995,209.589996,207.509995,208.899994,17958900
17/08/2020,209.600006,211.190002,208.919998,210.279999,20184800
18/08/2020,210.529999,212.360001,209.210007,211.490005,21336200
19/08/2020,211.490005,212.100006,209.25,209.699997,27627600
20/08/2020,209.539993,215,208.910004,214.580002,26981500
21/08/2020,213.860001,216.25,212.850006,213.020004,36249300
24/08/2020,214.789993,215.520004,212.429993,213.690002,25460100
25/08/2020,213.100006,216.610001,213.100006,216.470001,23043700
26/08/2020,217.880005,222.089996,217.360001,221.149994,39600800
27/08/2020,222.889999,231.149994,219.399994,226.580002,57602200
28/08/2020,228.179993,230.639999,226.580002,228.910004,26292900
31/08/2020,227,228.699997,224.309998,225.529999,28774200
01/09/2020,225.509995,227.449997,224.429993,227.270004,25725500
02/09/2020,227.970001,232.860001,227.350006,231.649994,34080800
03/09/2020,229.270004,229.309998,214.960007,217.300003,58400300
04/09/2020,215.100006,218.360001,205.190002,214.25,59664100
08/09/2020,206.5,210.029999,202.199997,202.660004,52924300
09/09/2020,207.600006,214.839996,206.699997,211.289993,45679000
10/09/2020,213.399994,214.740005,204.110001,205.369995,35461500
11/09/2020,207.199997,208.630005,201.240005,204.029999,33620100
14/09/2020,204.240005,209.199997,204.029999,205.410004,30375800
15/09/2020,208.419998,209.779999,206.929993,208.779999,21823900
16/09/2020,210.619995,210.649994,204.639999,205.050003,26328100
17/09/2020,200.050003,204.330002,199.960007,202.910004,34011300
18/09/2020,202.800003,203.649994,196.25,200.389999,55225300
21/09/2020,197.190002,202.710007,196.380005,202.539993,39839700
22/09/2020,205.059998,208.100006,202.080002,207.419998,33517100
23/09/2020,207.899994,208.100006,200.029999,200.589996,30803800
24/09/2020,199.850006,205.570007,199.199997,203.190002,31202500
25/09/2020,203.550003,209.039993,202.539993,207.820007,29437300
28/09/2020,210.880005,212.570007,208.059998,209.440002,32004900
29/09/2020,209.350006,210.070007,206.809998,207.259995,24221900
30/09/2020,207.729996,211.979996,206.539993,210.330002,33829100
01/10/2020,213.490005,213.990005,211.320007,212.460007,27158400
02/10/2020,208,210.990005,205.539993,206.190002,33154800
05/10/2020,207.220001,210.410004,206.979996,210.380005,21331600
06/10/2020,208.820007,210.179993,204.820007,205.910004,28554300
07/10/2020,207.059998,210.110001,206.720001,209.830002,25681100
08/10/2020,210.509995,211.190002,208.320007,210.580002,19925800
09/10/2020,211.229996,215.860001,211.229996,215.809998,26458000
12/10/2020,218.789993,223.860001,216.809998,221.399994,40461400
13/10/2020,222.720001,225.210007,220.429993,222.860001,28950800
14/10/2020,223,224.220001,219.130005,220.860001,23421700
15/10/2020,217.100006,220.360001,216.009995,219.660004,22733100
16/10/2020,220.149994,222.289993,219.320007,219.660004,26057900
19/10/2020,220.419998,222.300003,213.720001,214.220001,27625800
20/10/2020,215.800003,217.369995,213.089996,214.649994,22753500
21/10/2020,213.119995,216.919998,213.119995,214.800003,22724900
22/10/2020,213.929993,216.059998,211.699997,214.889999,22351500
23/10/2020,215.029999,216.279999,213.160004,216.229996,18879600
26/10/2020,213.850006,216.339996,208.100006,210.080002,37111600
27/10/2020,211.589996,214.669998,210.330002,213.25,36700300
28/10/2020,207.669998,208.839996,202.100006,202.679993,51195600
29/10/2020,204.070007,207.360001,203.369995,204.720001,31432600
30/10/2020,203.5,204.289993,199.619995,202.470001,36953700
02/11/2020,204.289993,205.279999,200.119995,202.330002,30842200
03/11/2020,203.889999,208.119995,203.119995,206.429993,27512000
04/11/2020,214.020004,218.320007,212.419998,216.389999,42311800
05/11/2020,222.039993,224.119995,221.149994,223.289993,36080100
06/11/2020,222.259995,224.360001,218.029999,223.720001,25231900
09/11/2020,224.440002,228.119995,217.880005,218.389999,44395000
10/11/2020,214.5,216.5,209.720001,211.009995,44045100
11/11/2020,212.389999,218.039993,212.199997,216.550003,29440800
12/11/2020,217.210007,219.110001,214.460007,215.440002,21593900
13/11/2020,216.360001,217.419998,214.160004,216.509995,18621100
16/11/2020,214.869995,217.740005,214.520004,217.229996,24953300
17/11/2020,216.100006,217.679993,214.080002,214.460007,24154100
18/11/2020,213.649994,215.169998,210.929993,211.080002,28372800
19/11/2020,211.380005,213.029999,209.929993,212.419998,24792700
20/11/2020,212.199997,213.289993,210,210.389999,22843100
23/11/2020,210.949997,212.289993,208.160004,210.110001,25683500
24/11/2020,209.589996,214.25,208.860001,213.860001,33979700
25/11/2020,215.110001,215.289993,212.460007,213.869995,21012900
27/11/2020,214.850006,216.270004,214.039993,215.229996,14512200
30/11/2020,214.100006,214.759995,210.839996,214.070007,33064800
01/12/2020,214.509995,217.320007,213.350006,216.210007,30904500
02/12/2020,214.880005,215.470001,212.800003,215.369995,23724500
03/12/2020,214.610001,216.380005,213.649994,214.240005,25120900
04/12/2020,214.220001,215.380005,213.179993,214.360001,24666000
07/12/2020,214.369995,215.539993,212.990005,214.289993,24620000
08/12/2020,213.970001,216.949997,212.889999,216.009995,23284100
09/12/2020,215.160004,215.229996,211.210007,211.800003,32440600
10/12/2020,211.770004,213.080002,210.360001,210.520004,26733300
11/12/2020,210.050003,213.320007,209.110001,213.259995,30979400
14/12/2020,213.100006,216.210007,212.880005,214.199997,28798400
15/12/2020,215.169998,215.419998,212.240005,214.130005,27000600
16/12/2020,214.75,220.110001,214.720001,219.279999,35023300
17/12/2020,219.869995,220.889999,217.919998,219.419998,32515800
18/12/2020,218.589996,219.690002,216.020004,218.589996,63354900
21/12/2020,217.550003,224,217.279999,222.589996,37181900
22/12/2020,222.690002,225.630005,221.850006,223.940002,22612200
23/12/2020,223.110001,223.559998,220.800003,221.020004,18699600
24/12/2020,221.419998,223.610001,221.199997,222.75,10550600
28/12/2020,224.449997,226.029999,223.020004,224.960007,17933500
29/12/2020,226.309998,227.179993,223.580002,224.149994,17403200
30/12/2020,225.229996,225.630005,221.470001,221.679993,20272300
31/12/2020,221.699997,223,219.679993,222.419998,20942100
04/01/2021,222.529999,223,214.809998,217.690002,37130100
05/01/2021,217.259995,218.520004,215.699997,217.899994,23823000
06/01/2021,212.169998,216.490005,211.940002,212.25,35930700
07/01/2021,214.039993,219.339996,213.710007,218.289993,27694500
08/01/2021,218.679993,220.580002,217.029999,219.619995,22956200
11/01/2021,218.470001,218.910004,216.729996,217.490005,23031300
12/01/2021,216.5,217.100006,213.320007,214.929993,23249300
13/01/2021,214.020004,216.759995,213.929993,216.339996,20087100
14/01/2021,215.910004,217.460007,212.740005,213.020004,29480800
15/01/2021,213.520004,214.509995,212.029999,212.649994,31746500
19/01/2021,213.75,216.979996,212.630005,216.440002,30480900
20/01/2021,217.699997,225.789993,217.289993,224.339996,37777300
21/01/2021,224.699997,226.300003,222.419998,224.970001,30709400
22/01/2021,227.080002,230.070007,225.800003,225.949997,30172700
25/01/2021,229.119995,229.779999,224.220001,229.529999,33152100
26/01/2021,231.860001,234.179993,230.080002,232.330002,49169600
27/01/2021,238,240.440002,230.139999,232.899994,69870600
28/01/2021,235.610001,242.639999,235.089996,238.929993,49111200
29/01/2021,235.990005,238.020004,231.350006,231.960007,42503100
01/02/2021,235.059998,242.5,232.429993,239.649994,33314200
02/02/2021,241.300003,242.309998,238.690002,239.509995,25916300
03/02/2021,239.570007,245.089996,239.259995,243,27158100
04/02/2021,242.660004,243.240005,240.369995,242.009995,25296100
05/02/2021,242.229996,243.279999,240.419998,242.199997,18054800
08/02/2021,243.149994,243.679993,240.809998,242.470001,22211900
09/02/2021,241.869995,244.759995,241.380005,243.770004,23565000
10/02/2021,245,245.919998,240.889999,242.820007,22186700
11/02/2021,244.779999,245.149994,242.149994,244.490005,15751100
12/02/2021,243.929993,245.300003,242.729996,244.990005,16561100
16/02/2021,245.029999,246.130005,242.919998,243.699997,26728500
17/02/2021,241.320007,244.309998,240.940002,244.199997,21653500
18/02/2021,241.800003,243.929993,240.860001,243.789993,16925600
19/02/2021,243.75,243.860001,240.179993,240.970001,25262600
22/02/2021,237.419998,237.929993,232.399994,234.509995,36446900
23/02/2021,230.330002,234.830002,228.729996,233.270004,30228700
24/02/2021,230.009995,235.199997,229,234.550003,26339700
25/02/2021,232.080002,234.589996,227.880005,228.990005,39542200
26/02/2021,231.529999,235.369995,229.539993,232.380005,37819200
01/03/2021,235.899994,237.470001,233.149994,236.940002,25324000
02/03/2021,237.009995,237.300003,233.449997,233.869995,22812500
03/03/2021,232.160004,233.580002,227.259995,227.559998,34029500
04/03/2021,226.740005,232.490005,224.259995,226.729996,44727800
05/03/2021,229.520004,233.270004,226.460007,231.600006,41872800
08/03/2021,231.369995,233.369995,227.130005,227.389999,35267400
09/03/2021,232.880005,235.380005,231.669998,233.779999,33080500
10/03/2021,237,237,232.039993,232.419998,29746800
11/03/2021,234.960007,239.169998,234.309998,237.130005,29907600
12/03/2021,234.009995,235.820007,233.229996,235.75,22653700
15/03/2021,234.960007,235.190002,231.809998,234.809998,26034900
16/03/2021,236.279999,240.059998,235.940002,237.710007,28092200
17/03/2021,236.149994,238.550003,233.229996,237.039993,29562100
18/03/2021,232.559998,234.190002,230.330002,230.720001,34833000
19/03/2021,231.020004,232.470001,229.350006,230.350006,46430700
22/03/2021,230.270004,236.899994,230.139999,235.990005,30127000
23/03/2021,237.490005,241.050003,237.070007,237.580002,31638400
24/03/2021,237.850006,238,235.320007,235.460007,25620100
25/03/2021,235.300003,236.940002,231.570007,232.339996,34061900
26/03/2021,231.550003,236.710007,231.550003,236.479996,25479900
29/03/2021,236.589996,236.800003,231.880005,235.240005,25227500
30/03/2021,233.529999,233.850006,231.100006,231.850006,24792000
31/03/2021,232.910004,239.100006,232.389999,235.770004,43623500
01/04/2021,238.470001,242.839996,238.050003,242.350006,30338000
05/04/2021,242.759995,249.960007,242.699997,249.070007,36910600
06/04/2021,247.610001,249.399994,246.880005,247.860001,22931900
07/04/2021,247.809998,250.929993,247.190002,249.899994,22719800
08/04/2021,252.770004,254.139999,252,253.25,23625200
09/04/2021,252.869995,255.990005,252.440002,255.850006,24326800
12/04/2021,254.710007,257.670013,254.619995,255.910004,27148700
13/04/2021,257.26001,259.190002,256.829987,258.48999,23837500
14/04/2021,257.480011,258.829987,255.160004,255.589996,23070900
15/04/2021,257.929993,259.929993,257.730011,259.5,25627500
16/04/2021,259.470001,261,257.600006,260.73999,24878600
19/04/2021,260.190002,261.480011,257.820007,258.73999,23209300
20/04/2021,257.820007,260.200012,256.839996,258.26001,19722900
21/04/2021,258.940002,260.679993,257.25,260.579987,24030400
22/04/2021,260.209991,261.779999,255.639999,257.170013,25606200
23/04/2021,257.880005,261.51001,257.269989,261.149994,21462600
